"id","host_id.x","price","minimum_nights","number_of_reviews","availability_365","calculated_host_listings_count","host_id.y","host_is_superhost"
1419,1565,469,28,7,0,1,1565,FALSE
8077,22795,101,180,169,365,2,22795,FALSE
26654,113345,125,28,41,138,3,113345,FALSE
27423,118124,45,90,26,100,1,118124,FALSE
30931,22795,135,180,1,365,2,22795,FALSE
40456,174063,125,60,114,266,4,174063,TRUE
40701,175687,88,28,4,89,1,175687,TRUE
42892,187320,145,119,0,340,7,187320,FALSE
43964,192364,150,2,53,355,1,192364,TRUE
44452,195095,126,28,64,364,16,195095,FALSE
44469,195095,79,28,8,280,16,195095,FALSE
45399,195095,123,28,83,365,16,195095,FALSE
45453,195095,105,28,9,280,16,195095,FALSE
45893,195095,90,28,19,347,16,195095,FALSE
50110,195095,140,28,58,365,16,195095,FALSE
51616,237587,55,91,24,0,1,237587,FALSE
64635,304551,45,85,14,193,4,304551,TRUE
64641,304551,45,85,19,230,4,304551,TRUE
66856,304551,50,88,1,333,4,304551,TRUE
69464,195095,140,30,55,36,16,195095,FALSE
75051,368707,149,28,273,36,2,368707,FALSE
84151,195095,164,28,24,365,16,195095,FALSE
96336,511506,249,3,145,69,1,511506,TRUE
112842,575127,66,120,12,204,1,575127,FALSE
113175,576192,105,30,39,98,1,576192,FALSE
119441,174063,150,28,80,352,4,174063,TRUE
131401,604233,72,150,11,168,1,604233,FALSE
146601,436139,100,14,8,9,1,436139,FALSE
154743,744412,95,180,68,357,1,744412,FALSE
179578,545074,80,28,0,0,2,545074,FALSE
184784,656777,219,180,62,219,1,656777,FALSE
192335,140602,85,28,55,0,1,140602,FALSE
192860,533496,179,3,127,269,2,533496,TRUE
196584,957466,88,14,35,171,1,957466,TRUE
207206,1019538,300,28,21,339,2,1019538,TRUE
224775,1170217,80,28,32,204,2,1170217,TRUE
228568,934821,230,12,65,0,3,934821,TRUE
232794,1218097,210,28,6,268,1,1218097,FALSE
239449,349772,75,30,30,206,1,349772,TRUE
248940,1304211,50,28,91,31,1,1304211,TRUE
266300,1396237,105,30,5,0,1,1396237,FALSE
269355,1411076,78,28,0,0,1,1411076,FALSE
272169,1424576,150,28,22,34,1,1424576,FALSE
273304,1409872,181,28,0,0,1,1409872,FALSE
288341,1368256,250,4,28,293,1,1368256,FALSE
307726,1108156,85,28,66,0,2,1108156,TRUE
314459,1615944,31,28,37,0,1,1615944,FALSE
325432,1664812,260,28,0,0,1,1664812,FALSE
361557,174063,100,365,67,340,4,174063,TRUE
361831,1828773,140,28,0,0,1,1828773,FALSE
363057,1816495,177,1,25,158,3,1816495,FALSE
366973,1015670,361,28,9,358,1,1015670,FALSE
380910,1910540,161,1,91,347,1,1910540,TRUE
387077,304551,55,85,1,282,4,304551,TRUE
390395,1952926,60,28,829,3,1,1952926,FALSE
403200,195095,89,28,4,160,16,195095,FALSE
406646,1854872,45,28,37,309,5,1854872,FALSE
413276,2056128,325,2,74,99,2,2056128,TRUE
415104,2064477,150,30,6,88,4,2064477,TRUE
415110,2064477,160,30,2,178,4,2064477,TRUE
415111,2064477,225,30,5,89,4,2064477,TRUE
415135,2064477,155,30,5,358,4,2064477,TRUE
429943,377846,62,28,46,219,10,377846,FALSE
456371,2268652,33,30,19,0,3,2268652,FALSE
457588,1805882,300,28,8,364,3,1805882,FALSE
462366,2297131,55,28,34,325,1,2297131,FALSE
466650,1039434,299,28,70,164,2,1039434,TRUE
473827,2349264,115,28,99,304,1,2349264,FALSE
495303,1241161,106,29,115,89,1,1241161,FALSE
497259,2318099,280,5,9,272,1,2318099,FALSE
511141,2518222,138,28,119,0,3,2518222,FALSE
516823,533496,71,31,178,231,2,533496,TRUE
517709,2549053,300,28,76,309,1,2549053,FALSE
526594,2588098,108,28,6,179,1,2588098,FALSE
526705,1698603,272,3,61,156,1,1698603,FALSE
529227,2600229,295,28,18,221,1,2600229,FALSE
533659,1019968,226,28,166,137,1,1019968,FALSE
537679,2586974,200,28,0,365,1,2586974,FALSE
543810,2671905,199,28,11,0,1,2671905,FALSE
547777,2692759,90,28,3,0,1,2692759,FALSE
571429,377846,139,28,32,265,10,377846,FALSE
573892,2175675,109,28,84,353,3,2175675,TRUE
593324,2929774,115,28,7,0,1,2929774,FALSE
620965,897683,39,28,28,234,2,897683,TRUE
624190,3096162,450,28,0,0,1,3096162,FALSE
625877,2268652,37,30,19,268,3,2268652,FALSE
625942,2268652,37,28,9,0,3,2268652,FALSE
627217,3057451,100,28,0,0,1,3057451,FALSE
638500,3178928,95,28,10,0,1,3178928,FALSE
638586,3186285,300,28,62,358,1,3186285,FALSE
643389,3217095,65,28,3,0,1,3217095,FALSE
643916,574360,120,28,5,164,1,574360,FALSE
654048,3289972,210,28,16,363,1,3289972,FALSE
655522,3299954,85,28,29,0,1,3299954,FALSE
666670,377846,63,28,45,249,10,377846,FALSE
669162,2942180,225,28,0,359,1,2942180,FALSE
670171,3395349,95,28,0,359,1,3395349,FALSE
674193,3422913,65,28,99,33,1,3422913,FALSE
701230,3587917,100,28,15,0,1,3587917,FALSE
702286,3604846,137,28,19,365,4,3604846,FALSE
703124,3604846,185,28,23,250,4,3604846,FALSE
703133,3604846,165,28,4,365,4,3604846,FALSE
728817,3783106,390,5,12,0,1,3783106,FALSE
756619,3982898,90,3,70,180,3,3982898,TRUE
762143,4017316,130,180,6,190,1,4017316,FALSE
762472,4019741,139,28,0,0,1,4019741,FALSE
771141,4068231,78,31,30,331,3,4068231,TRUE
774352,4085292,400,28,70,365,3,4085292,TRUE
777132,1664833,55,1,190,99,1,1664833,TRUE
779670,4111007,420,28,1,189,1,4111007,FALSE
788710,844281,80,30,2,0,1,844281,FALSE
789266,3921786,125,28,120,64,1,3921786,TRUE
790887,2056128,178,1,427,105,2,2056128,TRUE
791012,4167411,130,28,4,0,1,4167411,FALSE
794506,4186011,166,3,97,309,1,4186011,TRUE
796501,4195876,162,28,91,365,2,4195876,FALSE
799800,1786233,25,28,23,295,1,1786233,FALSE
818228,4297691,69,1,381,344,1,4297691,TRUE
820177,149566,95,28,37,194,2,149566,FALSE
822085,4316883,997,28,8,363,1,4316883,FALSE
827774,4340437,85,28,0,0,1,4340437,FALSE
833588,4361863,125,28,11,328,1,4361863,TRUE
835116,2019357,109,28,22,0,1,2019357,FALSE
842016,1930866,76,28,0,0,1,1930866,FALSE
843521,4403844,141,28,108,0,2,4403844,FALSE
849500,4435131,86,28,135,191,1,4435131,FALSE
850246,65479,44,28,5,365,10,65479,FALSE
855991,4477219,196,28,13,67,4,4477219,TRUE
864193,4534248,89,28,0,0,1,4534248,FALSE
883109,4517569,225,28,6,0,1,4517569,FALSE
892352,37326356,328,28,264,164,1,37326356,FALSE
921532,4954899,51,1,51,49,3,4954899,TRUE
950053,5153529,160,365,10,365,2,5153529,FALSE
954475,1854872,50,28,31,95,5,1854872,FALSE
954935,5186386,80,30,30,145,1,5186386,FALSE
955073,4477219,64,28,11,75,4,4477219,TRUE
955446,3272927,93,28,70,60,1,3272927,FALSE
956250,5066966,380,28,4,0,1,5066966,FALSE
959676,5214021,150,28,29,365,2,5214021,FALSE
960627,2929374,160,28,43,0,2,2929374,FALSE
977495,5348675,84,28,8,279,1,5348675,FALSE
985003,2396097,139,4,90,241,1,2396097,TRUE
985072,1019538,110,28,241,297,2,1019538,TRUE
985498,5407081,70,180,238,179,1,5407081,FALSE
985648,5242437,89,28,3,364,1,5242437,TRUE
986506,5413926,100,30,17,71,1,5413926,FALSE
990322,377962,100,30,30,200,4,377962,TRUE
1001438,3131000,59,28,157,73,1,3131000,TRUE
1009656,5554523,125,90,172,160,1,5554523,FALSE
1012527,5518435,545,28,3,364,1,5518435,FALSE
1015594,4202607,70,28,25,0,1,4202607,FALSE
1022764,5630548,443,28,17,365,1,5630548,FALSE
1030061,1984757,93,30,25,266,1,1984757,FALSE
1033151,377846,73,28,46,316,10,377846,FALSE
1033162,2175675,129,28,7,365,3,2175675,TRUE
1036076,4468895,128,28,35,187,1,4468895,TRUE
1037034,5709010,125,28,58,0,1,5709010,FALSE
1042311,5736902,85,15,37,100,1,5736902,FALSE
1053365,65479,40,31,3,341,10,65479,FALSE
1057144,265033,225,28,6,359,1,265033,FALSE
