id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,469,28,7,2017-12-04,0.08,1,0,0,
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,101,180,169,2013-08-27,1.04,2,365,0,
26654,World Class downtown @CN Tower Theatre MTCC games!,113345,Adela,,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,125,28,41,2021-01-31,0.28,3,138,0,
624190,Danforth/Greek Town  appartment,3096162,Brigitt,,Broadview North,43.69032,-79.35236,Entire home/apt,450,28,0,,,1,0,0,
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,45,90,26,2011-08-30,0.17,1,100,0,
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,135,180,1,2010-08-11,0.01,2,365,0,
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,125,60,114,2022-01-29,0.76,4,266,1,
40701,"Bright Beaches Apt, close to everything",175687,John,,The Beaches,43.67239,-79.28858,Entire home/apt,88,28,4,2022-10-01,0.03,1,89,2,
625877,Calming Bedroom 2 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67639,-79.31017,Private room,37,30,19,2022-07-08,0.18,3,268,2,
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.6445,-79.38019,Entire home/apt,145,119,0,,,7,340,0,
43964,Entire 2-bedrm basement private entry free parking,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Entire home/apt,150,2,53,2022-09-18,0.74,1,355,18,STR-2012-FMQPHC
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126,28,64,2022-08-31,0.43,16,364,5,
625942,Calming Bedroom 3 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67739,-79.31034,Private room,37,28,9,2017-10-08,0.08,3,0,0,
